
sample variable and their representive feature:
 1: VOLUME * 100 (M),
 2: AVG.VOL(3m) * 100 (M),
 3: Avg.Vol(10d) * 100 (M),
 4: day high * 100,
 5: OPEN * 100 ,
 6: pre-Mkt%Chg * 100 + 10000,
 7: 52-wk high * 100,
 8: 52-wk low * 100,
 9: 1y Target Est * 100,
 10: market cap * 100 (B),

ORCL,289,1481,1130,4922,4894,9990,5314,3764,5645,20448,0,
CSCO,585,1887,2048,3682,3651,10005,3697,2912,3875,18324,1,
SBUX,251,894,595,5692,5683,9991,6487,5258,6195,8027,0,
T,865,3418,2786,3501,3484,10000,4303,3255,3945,21281,0,
M,642,1224,1172,2136,2114,10047,4400,1741,2318,6340,0,
DIS,102,782,494,10296,10263,9996,11610,9620,10944,15838,0,
WMT,351,906,1323,9764,9685,10039,10013,6528,9994,29012,1,
ATVI,107,595,370,6645,6618,9985,6703,3512,7144,4989,0,
TRIP,158,369,594,3566,3444,10170,5358,2950,3325,483,0,
SOHU,7,59,47,5285,5215,10000,7086,3260,6030,205,1,
BIDU,70,265,240,24730,24600,9863,27497,16079,26414,8597,0,
GRPN,238,780,564,575,572,9913,576,290,527,312,0,
NKE,189,1007,898,5970,5920,9960,6053,5006,5883,9706,1,
IBM,94,459,375,15248,15206,9993,18279,13913,16374,14169,1,
AMD,1958,5648,3188,1170,1134,9956,1565,826,1434,1123,1,
NVDA,372,1439,924,21736,21731,10018,21867,8477,21143,12963,0,
EDU,3,168,141,8800,8759,10000,9463,3716,10415,1391,0,
PANW,5,171,389,15269,15139,10021,15765,10731,16751,1396,1,
COST,6,306,183,17306,17225,10000,18318,15000,17885,7528,1,
COKE,2,4,4,20540,20385,10000,24954,15721,14400,192,1,
FB,456,1473,1147,18373,18256,9997,18373,11400,20683,53147,1,
AAPL,820,2800,2058,17508,17505,10005,17624,10825,18774,89537,0,
JD,354,1552,1343,3910,3900,9946,4899,2525,5070,5539,0,
BABA,570,1755,1667,19073,19049,9959,19175,8601,20879,48858,0,
AMZN,323,328,283,121341,120266,10140,121341,73670,122732,58066,1,
MSFT,513,1933,1752,8397,8331,10011,8620,5880,9172,64752,1,
TSLA,205,597,748,31343,31325,9933,38961,18000,31600,5283,0,
GOOG,38,131,94,105000,104000,9987,105000,737025,110086,73405,1,

